"Hàn-jī","Lô-má-jī","Kúi ê im"
"郭","kueh, kok","2"
"價","kè, kà","2"
"都","to, too","2"
"鄉","hiong, hiunn","2"
"儒","jû, lû","2"
"儘","tsín, tsīn","2"
"償","sióng, siông","2"
"無","bô, bû","2"
"然","jiân, liân","2"
"允","ín, ún","2"
"兄","hiann, hing","2"
"光","kong, kng","2"
"兌","tuī, tuē","2"
"配","phuè, phè","2"
"煎","tsian, tsuann","2"
"兒","jî, lî","2"
"入","ji̍p, li̍p","2"
"內","lāi, luē","2"
"照","tsiàu, tsiò","2"
"全","tsuân, tsn̂g","2"
"煬","iāng, iông","2"
"六","la̍k, lio̍k","2"
"𥍉","nih, liap","2"
"具","kū, khū","2"
"酸","sng, suan","2"
"熔","iûnn, iông","2"
"冗","līng, liōng","2"
"熟","si̍k, sio̍k","2"
"熥","thang, thn̄g","2"
"冬","tang, tong","2"
"醮","tsiàu, tsiò","2"
"釀","jiōng, liōng","2"
"凊","tshìng, tshìn","2"
"凍","tòng, tàng","2"
"釘","ting, tìng","2"
"營","îng, iânn","2"
"凡","huân, huān","2"
"釣","tiò, tiàu","2"
"燭","tsik, tsiok","2"
"凱","ke, khái","2"
"釵","the, tshai","2"
"刁","tiau, thiau","2"
"切","tshè, tshiat","2"
"爛","nuā, lān","2"
"別","pia̍t, pa̍t","2"
"利","lī, lāi","2"
"爵","tsik, tsiok","2"
"券","kuàn, kǹg","2"
"鈸","pua̍t, pua̍h","2"
"刺","tshì, tshiah","2"
"爽","sóng, sńg","2"
"爾","nī, niā","2"
"片","phìnn, phiàn","2"
"削","siat, siah","2"
"剔","thik, thak","2"
"鉗","khînn, khiâm","2"
"牙","gê, gâ","2"
"牚","thènn, thìnn","2"
"牛","gû, giû","2"
"剝","pak, pok","2"
"牢","tiâu, lô","2"
"割","kuah, kat","2"
"創","tshong, tshòng","2"
"剺","le̍h, lì","2"
"鉼","phiánn, pín","2"
"牽","khan, khian","2"
"銀","gîn, gûn","2"
"犀","sai, se","2"
"劇","ki̍k, kio̍k","2"
"劑","tse, tsè","2"
"功","kong, kang","2"
"加","ke, ka","2"
"銳","juē, luē","2"
"鋁","lū, lú","2"
"勒","li̍k, lik","2"
"動","tōng, tāng","2"
"狗","káu, kóo","2"
"勘","khàm, kham","2"
"勝","sìng, sing","2"
"勢","sè, sì","2"
"勤","khîn, khûn","2"
"鋤","tî, tû","2"
"鋩","mê, mî","2"
"勸","khuàn, khǹg","2"
"鋸","kì, kù","2"
"鋼","kong, kǹg","2"
"包","pau, pâu","2"
"猊","jî, lî","2"
"化","huà, hua","2"
"北","pak, pok","2"
"猛","bíng, mé","2"
"錠","tiānn, tīng","2"
"錨","bâ, biâu","2"
"錫","siah, sik","2"
"錯","tshò, tshok","2"
"區","khu, oo","2"
"十","tsa̍p, si̍p","2"
"千","tshian, tshing","2"
"獄","ga̍k, gi̍k","2"
"升","sing, tsin","2"
"午","gōo, ngóo","2"
"獎","tsióng, tsiáng","2"
"卓","tok, toh","2"
"協","hia̍p, ha̍h","2"
"卜","poh, pok","2"
"占","tsiàm, tsiam","2"
"卡","kha̍h, khah","2"
"鍥","keh, kueh","2"
"獨","ta̍k, to̍k","2"
"卯","mauh, báu","2"
"危","uî, guî","2"
"卵","nn̄g, luán","2"
"獵","lia̍p, la̍h","2"
"鍾","tsing, tsiong","2"
"率","lu̍t, sut","2"
"玉","gio̍k, gi̍k","2"
"厚","hōo, kāu","2"
"原","guân, uân","2"
"玩","uán, guán","2"
"厭","ià, iàn","2"
"厲","lē, lī","2"
"珍","tin, tsin","2"
"叔","tsik, siok","2"
"叡","juē, luē","2"
"叢","tsông, tsâng","2"
"叩","khàu, khiò","2"
"叮","tìng, ting","2"
"史","sú, sái","2"
"現","hiān, hiàn","2"
"球","kiû, khiû","2"
"鐃","lâu, nâ","2"
"各","kok, koh","2"
"吉","kiat, jì","2"
"同","tông, tâng","2"
"名","miâ, bîng","2"
"吐","thòo, thóo","2"
"吠","huī, puī","2"
"否","phí, hónn","2"
"吩","hun, huan","2"
"吭","khōng, khngh","2"
"鐵","thih, thiat","2"
"吵","tsháu, tshá","2"
"琶","pê, pâ","2"
"呂","lū, lī","2"
"瑟","sik, sit","2"
"瑪","bé, má","2"
"瑯","long, lông","2"
"鑰","io̍h, io̍k","2"
"呻","tshan, sin","2"
"命","miā, bīng","2"
"鑽","tsǹg, tsuàn","2"
"鑿","tsha̍k, tsho̍k","2"
"璃","lê, lî","2"
"咧","teh, leh","2"
"咬","ngáu, kā","2"
"環","khuân, huân","2"
"咳","kha, ka","2"
"哉","tsài, tsai","2"
"瓊","khîng, khiông","2"
"哎","aih, ai","2"
"瓜","kue, kua","2"
"哥","ko, koh","2"
"瓦","hiā, uá","2"
"哨","siàu, sàu","2"
"哼","hainn, hngh","2"
"哽","kénn, kínn","2"
"唆","sō, so","2"
"唇","tûn, sûn","2"
"唐","tn̂g, tông","2"
"用","iōng, īng","2"
"唭","kì, ki","2"
"唯","uî, bî","2"
"甲","kah, kap","2"
"問","būn, mn̄g","2"
"啖","tām, tam","2"
"留","lâu, liû","2"
"畚","pùn, pūn","2"
"畜","thiok, thik","2"
"啞","é, á","2"
"略","lio̍k, lio̍h","2"
"番","huan, han","2"
"門","mn̂g, bûn","2"
"喀","khe̍nnh, khennh","2"
"喊","hiàm, hán","2"
"開","khui, khai","2"
"喌","tsû, tsiuh","2"
"閏","jūn, lūn","2"
"閒","îng, hân","2"
"喝","huah, hat","2"
"閣","kooh, koh","2"
"疥","kè, kuè","2"
"疫","ia̍h, i̍k","2"
"閬","lòng, làng","2"
"單","tuann, tan","2"
"閱","ia̍t, ua̍t","2"
"喻","jū, lū","2"
"疾","tsi̍t, tsi̍k","2"
"嗇","sik, siah","2"
"闔","kha̍h, ha̍p","2"
"痘","tōo, tāu","2"
"嗙","pòng, phngh","2"
"嗚","oo, onn","2"
"痛","thòng, thàng","2"
"痟","siáu, siau","2"
"嗣","sū, sû","2"
"嗤","tshi, tshi̍h","2"
"嗲","teh, te","2"
"嗹","liân, lian","2"
"嘈","tsha̍uh, tsō","2"
"嘔","áu, óo","2"
"瘡","tshong, tshng","2"
"瘦","sán, sóo","2"
"阮","ńg, guán","2"
"阱","tsénn, tsínn","2"
"瘸","khuê, khê","2"
"附","hù, hū","2"
"降","kàng, hâng","2"
"限","hān, ān","2"
"癖","phiah, phia̍h","2"
"癢","tsiūnn, ióng","2"
"陣","tsūn, tīn","2"
"除","tû, tî","2"
"癮","giàn, ín","2"
"噯","ài, aih","2"
"陰","iam, im","2"
"陳","tân, tîn","2"
"陵","niā, lîng","2"
"噸","tùn, tòng","2"
"白","pe̍h, pi̍k","2"
"隆","liông, lâng","2"
"皓","hōo, hō","2"
"隔","keh, kik","2"
"嚨","nâ, lông","2"
"隨","suî, sûi","2"
"嚷","jiáng, lióng","2"
"皺","jiâu, liâu","2"
"隻","tsiah, tsik","2"
"雀","tshiok, tshik","2"
"雄","hiông, hîng","2"
"雅","ngá, ngé","2"
"囊","lông, long","2"
"益","ik, iah","2"
"盒","a̍h, a̍p","2"
"四","sì, sù","2"
"盛","sīng, siānn","2"
"雞","ke, kue","2"
"回","huê, hê","2"
"盞","tsán, tsuánn","2"
"難","lân, lān","2"
"雨","ú, hōo","2"
"盪","tōng, tn̄g","2"
"目","ba̍k, bo̍k","2"
"零","lân, lîng","2"
"霆","tîng, tân","2"
"圈","khian, khuan","2"
"眉","bâi, bî","2"
"看","khuànn, khàn","2"
"圍","uî, û","2"
"霎","tiap, sap","2"
"園","hn̂g, uân","2"
"圓","înn, uân","2"
"霜","sng, song","2"
"霞","hâ, hê","2"
"土","thóo, thôo","2"
"眠","bîn, biân","2"
"霧","bū, buh","2"
"露","lo̍k, lōo","2"
"眼","gán, gíng","2"
"眾","tsìng, tsiòng","2"
"均","kin, kun","2"
"坊","hng, hong","2"
"靠","khò, khuà","2"
"睡","suī, tsuē","2"
"面","bīn, biān","2"
"坦","thán, thánn","2"
"坯","phue, phe","2"
"坵","khu, khiu","2"
"垃","lah, lâ","2"
"鞍","an, uann","2"
"鞏","kióng, khōng","2"
"瞪","tènn, tìnn","2"
"埃","ia, ai","2"
"埋","bâi, tâi","2"
"韌","jūn, lūn","2"
"城","siânn, sîng","2"
"矛","mâu, môo","2"
"矜","khim, king","2"
"域","hi̍k, i̍k","2"
"埠","pōo, poo","2"
"知","ti, tsai","2"
"矩","kí, kú","2"
"短","té, tuán","2"
"矮","é, ué","2"
"培","puê, puē","2"
"基","ke, ki","2"
"響","hióng, hiáng","2"
"堂","tông, tn̂g","2"
"砂","se, sua","2"
"頃","khíng, khing","2"
"頇","han, hân","2"
"預","ī, ū","2"
"頓","tùn, tǹg","2"
"研","gián, gíng","2"
"領","niá, líng","2"
"頦","hâi, huâi","2"
"破","phuà, phò","2"
"場","tiûnn, tshiâng","2"
"頸","kún, kíng","2"
"題","tê, tuê","2"
"塌","lap, thap","2"
"塗","thôo, tôo","2"
"塘","tn̂g, tông","2"
"顛","tian, thian","2"
"硞","kho̍k, khok","2"
"塞","sài, sat","2"
"顯","hián, hiánn","2"
"碇","tiānn, tīng","2"
"碌","lo̍k, li̍k","2"
"墓","bōng, bōo","2"
"碟","ti̍h, tia̍p","2"
"碣","khiat, khat","2"
"墨","bi̍k, ba̍k","2"
"碩","si̍k, sik","2"
"碰","pōng, phòng","2"
"墳","hûn, phûn","2"
"颺","iānn, tshiûnn","2"
"確","khak, khia̍k","2"
"碼","bé, má","2"
"壁","piah, pik","2"
"飆","phiau, pio","2"
"壇","tuânn, tân","2"
"磐","phuân, puânn","2"
"壓","ap, ah","2"
"磚","tsuan, tsng","2"
"食","tsia̍h, si̍t","2"
"壩","pè, pà","2"
"壬","jîm, lîm","2"
"飯","pn̄g, huān","2"
"壺","hôo, ôo","2"
"飽","pá, páu","2"
"礁","ta, tsiau","2"
"養","ióng, iúnn","2"
"餌","jī, lī","2"
"夏","hē, hā","2"
"夕","si̍k, sia̍h","2"
"外","guā, guē","2"
"餘","û, î","2"
"夢","bāng, bōng","2"
"夥","hué, hé","2"
"天","thian, thinn","2"
"餾","liū, liû","2"
"饅","bán, bân","2"
"奇","kî, khia","2"
"奈","ta, nāi","2"
"契","khè, khuè","2"
"饒","jiâu, liâu","2"
"祠","sû, sī","2"
"票","phiò, phiàu","2"
"奮","hùn, pùn","2"
"女","lú, lí","2"
"好","hó, hònn","2"
"如","jû, lû","2"
"禍","ē, hō","2"
"妝","tsong, tsng","2"
"馨","hiong, hing","2"
"禪","siān, siân","2"
"妹","muē, bē","2"
"禿","thut, thuh","2"
"駁","poh, pok","2"
"姊","tsí, tsé","2"
"始","sí, sú","2"
"駐","tsù, tū","2"
"秒","biáu, bió","2"
"姚","iô, iâu","2"
"駛","sú, sái","2"
"秤","pîng, tshìn","2"
"姦","kan, kàn","2"
"姪","ti̍t, tsit","2"
"駱","lo̍k, lo̍h","2"
"稅","suè, sè","2"
"騎","khiâ, khî","2"
"稗","phē, phuē","2"
"稜","lîng, līng","2"
"稻","tō, tiū","2"
"娼","tshang, tshiong","2"
"驛","i̍k, ia̍h","2"
"穡","sit, sik","2"
"穢","uè, è","2"
"驢","lî, lû","2"
"婦","hū, pū","2"
"婿","sài, sè","2"
"窗","thang, tshong","2"
"嫁","kè, kà","2"
"竅","khiàu, khiò","2"
"竊","tshiap, tshiat","2"
"高","ko, kau","2"
"章","tsiong, tsiunn","2"
"童","tâng, tông","2"
"端","tuan, tuann","2"
"竹","tik, tiok","2"
"髻","kuè, kè","2"
"竿","kuann, kan","2"
"鬆","sang, song","2"
"笒","gím, giám","2"
"鬚","tshiu, su","2"
"笛","ta̍t, ti̍k","2"
"鬥","tàu, tòo","2"
"鬧","lāu, nāu","2"
"笨","pùn, pūn","2"
"嬸","tsím, sím","2"
"等","tíng, tán","2"
"筋","kin, kun","2"
"筐","khing, khong","2"
"筒","tâng, tông","2"
"孔","khóng, kháng","2"
"答","tap, tah","2"
"字","jī, lī","2"
"存","tsûn, tshûn","2"
"孝","hà, hàu","2"
"孫","sun, sng","2"
"魯","luh, lóo","2"
"孵","pū, hu","2"
"學","ha̍k, o̍h","2"
"宅","thi̍k, the̍h","2"
"守","siú, tsiú","2"
"安","an, uann","2"
"宋","sàng, sòng","2"
"鮑","pau, pāu","2"
"算","sǹg, suàn","2"
"官","kuan, kuann","2"
"定","tīng, tiānn","2"
"客","kheh, khik","2"
"箭","tsìnn, tsiàn","2"
"宮","kiong, king","2"
"箱","siong, siunn","2"
"家","ke, ka","2"
"箸","tī, tū","2"
"寂","tsi̍k, siok","2"
"範","huān, pān","2"
"寄","kià, kì","2"
"密","bi̍t, ba̍t","2"
"篇","phian, phinn","2"
"寓","ú, gū","2"
"篠","siāu, siáu","2"
"寢","tshím, khím","2"
"實","si̍t, tsa̍t","2"
"寬","khuan, khuann","2"
"篱","lē, luē","2"
"寵","thíng, thióng","2"
"篾","bia̍t, bi̍h","2"
"封","hong, pang","2"
"鰇","jiû, liû","2"
"尋","siâm, sîm","2"
"對","tuì, uì","2"
"小","sió, siáu","2"
"就","tsiū, tō","2"
"簷","tsînn, liâm","2"
"尼","nî, lî","2"
"尾","bué, bé","2"
"簿","phōo, pho̍k","2"
"尿","jiō, liō","2"
"籃","lâm, nâ","2"
"居","ki, ku","2"
"鱉","piat, pih","2"
"屎","sái, sú","2"
"屑","sut, sap","2"
"展","tián, thián","2"
"鱖","kuè, kè","2"
"鱗","lîn, lân","2"
"鱙","jiâu, liâu","2"
"層","tsàn, tsân","2"
"屬","tsiok, sio̍k","2"
"籮","lô, luâ","2"
"山","san, suann","2"
"粕","phoh, phok","2"
"粞","tshè, tshuè","2"
"粟","tshik, siok","2"
"粧","tsng, tsong","2"
"岩","giâm, gâm","2"
"岸","huānn, gān","2"
"粿","kué, ké","2"
"峇","bâ, bā","2"
"糊","hôo, kôo","2"
"糞","hùn, pùn","2"
"糠","khong, khng","2"
"鳥","tsiáu, niáu","2"
"糴","ti̍k, tia̍h","2"
"島","tó, tóo","2"
"糶","thiàu, thiò","2"
"紅","âng, hông","2"
"紗","se, sa","2"
"崗","kong, kang","2"
"崙","lūn, lun","2"
"紡","hóng, pháng","2"
"索","soh, sik","2"
"鴦","iunn, iong","2"
"崩","pang, ping","2"
"累","luī, luí","2"
"細","sè, suè","2"
"鴿","kah, kap","2"
"絆","puànn, puàn","2"
"結","kiat, kat","2"
"絕","tsua̍t, tse̍h","2"
"絞","ká, káu","2"
"絢","hiàn, sûn","2"
"絨","jiông, liông","2"
"鵬","phîng, pîng","2"
"鶉","tshun, tun","2"
"綜","tsong, tsòng","2"
"綠","li̍k, lio̍k","2"
"維","î, uî","2"
"網","bāng, bóng","2"
"鶴","ho̍k, ho̍h","2"
"綸","lûn, kuan","2"
"嶺","niá, líng","2"
"綿","biân, mî","2"
"巒","luân, bân","2"
"緝","tsi̍p, tship","2"
"川","tshng, tshuan","2"
"編","pinn, pian","2"
"巨","kī, kū","2"
"己","kī, kí","2"
"巳","sū, tsī","2"
"鷺","lōo, lôo","2"
"緻","tì, tī","2"
"巾","kin, kun","2"
"帆","phâng, huân","2"
"帛","pe̍h, pi̍k","2"
"帥","suè, suì","2"
"師","su, sai","2"
"縭","li, lî","2"
"縮","siok, sok","2"
"帳","tiùnn, tiòng","2"
"帶","tài, tuà","2"
"常","siông, tshiâng","2"
"總","tsóng, tsáng","2"
"績","tseh, tsik","2"
"繃","penn, pinn","2"
"幅","pak, hok","2"
"繞","jiàu, liàu","2"
"繩","tsîn, sîng","2"
"幫","pang, png","2"
"繭","kián, kíng","2"
"年","nî, liân","2"
"鹼","kiám, kinn","2"
"鹽","iâm, kiâm","2"
"幾","kuí, kí","2"
"鹿","lak, lo̍k","2"
"序","sī, sū","2"
"纏","tiân, tînn","2"
"麗","lê, lē","2"
"纜","lám, lām","2"
"度","tōo, to̍k","2"
"麩","hu, phoo","2"
"庭","tîng, tiânn","2"
"麵","mī, biān","2"
"康","khong, khng","2"
"庾","jú, lú","2"
"黃","hông, n̂g","2"
"黍","sé, sué","2"
"廚","tû, tôo","2"
"黜","thuh, thut","2"
"廣","kńg, kóng","2"
"廳","thiann, thing","2"
"延","iân, tshiân","2"
"廿","jia̍p, lia̍p","2"
"弊","pè, piah","2"
"鼎","tiánn, tíng","2"
"式","sik, sit","2"
"弓","king, kiong","2"
"弟","tī, tē","2"
"鼠","tshí, tshú","2"
"弱","jio̍k, lio̍k","2"
"缸","kong, kng","2"
"缽","puah, puat","2"
"鼾","huânn, kônn","2"
"齋","tsai, tse","2"
"彥","giān, gān","2"
"齧","khè, khuè","2"
"罩","tà, tàu","2"
"罪","tsuē, tsē","2"
"彰","tsiang, tsiong","2"
"影","íng, iánn","2"
"署","sú, sū","2"
"役","i̍k, ia̍h","2"
"往","óng, íng","2"
"待","thāi, tāi","2"
"羊","iûnn, iông","2"
"羌","kiong, kiunn","2"
"龐","phiāng, pâng","2"
"得","tit, tik","2"
"龜","ku, kui","2"
"羞","siu, tshiu","2"
"循","sūn, sûn","2"
"徵","ting, tin","2"
"翁","ang, ong","2"
"忌","kī, khī","2"
"忙","bông, bâng","2"
"快","khuài, khuìnn","2"
"翳","è, ì","2"
"翼","si̍t, i̍k","2"
